year,planning_area_clean,subzone_clean,model,forecast_children_18m_to_6
2026,BUKIT BATOK,BUKIT BATOK CENTRAL,Linear,1059.0
2027,BUKIT BATOK,BUKIT BATOK CENTRAL,Linear,893.8181818181765
2028,BUKIT BATOK,BUKIT BATOK CENTRAL,Linear,728.636363636353
2029,BUKIT BATOK,BUKIT BATOK CENTRAL,Linear,563.4545454545296
2030,BUKIT BATOK,BUKIT BATOK CENTRAL,Linear,398.2727272727061
2026,BUKIT BATOK,BUKIT BATOK CENTRAL,Prophet,1354.875357394587
2027,BUKIT BATOK,BUKIT BATOK CENTRAL,Prophet,1240.6030569245745
2028,BUKIT BATOK,BUKIT BATOK CENTRAL,Prophet,1126.0176816587534
2029,BUKIT BATOK,BUKIT BATOK CENTRAL,Prophet,1011.745381188741
2030,BUKIT BATOK,BUKIT BATOK CENTRAL,Prophet,897.4730807187286
2026,BUKIT BATOK,BUKIT BATOK EAST,Linear,153.0
2027,BUKIT BATOK,BUKIT BATOK EAST,Linear,71.27272727273521
2028,BUKIT BATOK,BUKIT BATOK EAST,Linear,0.0
2029,BUKIT BATOK,BUKIT BATOK EAST,Linear,0.0
2030,BUKIT BATOK,BUKIT BATOK EAST,Linear,0.0
2026,BUKIT BATOK,BUKIT BATOK EAST,Prophet,123.13046019046901
2027,BUKIT BATOK,BUKIT BATOK EAST,Prophet,34.69402501305376
2028,BUKIT BATOK,BUKIT BATOK EAST,Prophet,0.0
2029,BUKIT BATOK,BUKIT BATOK EAST,Prophet,0.0
2030,BUKIT BATOK,BUKIT BATOK EAST,Prophet,0.0
2026,BUKIT BATOK,BUKIT BATOK SOUTH,Linear,514.6666666666861
2027,BUKIT BATOK,BUKIT BATOK SOUTH,Linear,415.42424242425477
2028,BUKIT BATOK,BUKIT BATOK SOUTH,Linear,316.1818181818235
2029,BUKIT BATOK,BUKIT BATOK SOUTH,Linear,216.93939393939218
2030,BUKIT BATOK,BUKIT BATOK SOUTH,Linear,117.69696969698998
2026,BUKIT BATOK,BUKIT BATOK SOUTH,Prophet,543.3040390494734
2027,BUKIT BATOK,BUKIT BATOK SOUTH,Prophet,464.45284335811573
2028,BUKIT BATOK,BUKIT BATOK SOUTH,Prophet,385.38561699363095
2029,BUKIT BATOK,BUKIT BATOK SOUTH,Prophet,306.5344213022733
2030,BUKIT BATOK,BUKIT BATOK SOUTH,Prophet,227.68322561091597
2026,BUKIT BATOK,BUKIT BATOK WEST,Linear,398.66666666668607
2027,BUKIT BATOK,BUKIT BATOK WEST,Linear,284.15151515151956
2028,BUKIT BATOK,BUKIT BATOK WEST,Linear,169.63636363638216
2029,BUKIT BATOK,BUKIT BATOK WEST,Linear,55.12121212121565
2030,BUKIT BATOK,BUKIT BATOK WEST,Linear,0.0
2026,BUKIT BATOK,BUKIT BATOK WEST,Prophet,466.34594907742104
2027,BUKIT BATOK,BUKIT BATOK WEST,Prophet,364.5389079966177
2028,BUKIT BATOK,BUKIT BATOK WEST,Prophet,262.4529435155923
2029,BUKIT BATOK,BUKIT BATOK WEST,Prophet,160.64590243478932
2030,BUKIT BATOK,BUKIT BATOK WEST,Prophet,58.83886135398569
2026,BUKIT BATOK,GOMBAK,Linear,13.333333333372138
2027,BUKIT BATOK,GOMBAK,Linear,0.0
2028,BUKIT BATOK,GOMBAK,Linear,0.0
2029,BUKIT BATOK,GOMBAK,Linear,0.0
2030,BUKIT BATOK,GOMBAK,Linear,0.0
2026,BUKIT BATOK,GOMBAK,Prophet,945.2413554127127
2027,BUKIT BATOK,GOMBAK,Prophet,956.3402677741549
2028,BUKIT BATOK,GOMBAK,Prophet,967.4695881146697
2029,BUKIT BATOK,GOMBAK,Prophet,978.568500476112
2030,BUKIT BATOK,GOMBAK,Prophet,989.6674128375543
2026,BUKIT BATOK,GUILIN,Linear,247.66666666668607
2027,BUKIT BATOK,GUILIN,Linear,143.2424242424313
2028,BUKIT BATOK,GUILIN,Linear,38.81818181820563
2029,BUKIT BATOK,GUILIN,Linear,0.0
2030,BUKIT BATOK,GUILIN,Linear,0.0
2026,BUKIT BATOK,GUILIN,Prophet,311.00313709055814
2027,BUKIT BATOK,GUILIN,Prophet,217.64779344778205
2028,BUKIT BATOK,GUILIN,Prophet,124.0366817402309
2029,BUKIT BATOK,GUILIN,Prophet,30.68133809745529
2030,BUKIT BATOK,GUILIN,Prophet,0.0
2026,BUKIT BATOK,HILLVIEW,Linear,389.0
2027,BUKIT BATOK,HILLVIEW,Linear,265.90909090908826
2028,BUKIT BATOK,HILLVIEW,Linear,142.81818181817653
2029,BUKIT BATOK,HILLVIEW,Linear,19.72727272726479
2030,BUKIT BATOK,HILLVIEW,Linear,0.0
2026,BUKIT BATOK,HILLVIEW,Prophet,482.6604694881496
2027,BUKIT BATOK,HILLVIEW,Prophet,382.58004710946545
2028,BUKIT BATOK,HILLVIEW,Prophet,282.22543179275675
2029,BUKIT BATOK,HILLVIEW,Prophet,182.14500941407223
2030,BUKIT BATOK,HILLVIEW,Prophet,82.06458703538812
2026,BUKIT BATOK,HONG KAH NORTH,Linear,454.0
2027,BUKIT BATOK,HONG KAH NORTH,Linear,261.63636363635305
2028,BUKIT BATOK,HONG KAH NORTH,Linear,69.2727272727061
2029,BUKIT BATOK,HONG KAH NORTH,Linear,0.0
2030,BUKIT BATOK,HONG KAH NORTH,Linear,0.0
2026,BUKIT BATOK,HONG KAH NORTH,Prophet,446.07325624678003
2027,BUKIT BATOK,HONG KAH NORTH,Prophet,252.36213279160435
2028,BUKIT BATOK,HONG KAH NORTH,Prophet,58.12029392970211
2029,BUKIT BATOK,HONG KAH NORTH,Prophet,0.0
2030,BUKIT BATOK,HONG KAH NORTH,Prophet,0.0
2026,BUKIT MERAH,ALEXANDRA HILL,Linear,241.33333333331393
2027,BUKIT MERAH,ALEXANDRA HILL,Linear,146.4848484848335
2028,BUKIT MERAH,ALEXANDRA HILL,Linear,51.63636363635305
2029,BUKIT MERAH,ALEXANDRA HILL,Linear,0.0
2030,BUKIT MERAH,ALEXANDRA HILL,Linear,0.0
2026,BUKIT MERAH,ALEXANDRA HILL,Prophet,262.043726975741
2027,BUKIT MERAH,ALEXANDRA HILL,Prophet,165.91455390504782
2028,BUKIT MERAH,ALEXANDRA HILL,Prophet,69.5220132369001
2029,BUKIT MERAH,ALEXANDRA HILL,Prophet,0.0
2030,BUKIT MERAH,ALEXANDRA HILL,Prophet,0.0
2026,BUKIT MERAH,ALEXANDRA NORTH,Linear,199.66666666666788
2027,BUKIT MERAH,ALEXANDRA NORTH,Linear,193.60606060606187
2028,BUKIT MERAH,ALEXANDRA NORTH,Linear,187.54545454545587
2029,BUKIT MERAH,ALEXANDRA NORTH,Linear,181.48484848484986
2030,BUKIT MERAH,ALEXANDRA NORTH,Linear,175.42424242424386
2026,BUKIT MERAH,ALEXANDRA NORTH,Prophet,269.5728317056799
2027,BUKIT MERAH,ALEXANDRA NORTH,Prophet,278.43483016889166
2028,BUKIT MERAH,ALEXANDRA NORTH,Prophet,287.32110807994786
2029,BUKIT MERAH,ALEXANDRA NORTH,Prophet,296.1831065431597
2030,BUKIT MERAH,ALEXANDRA NORTH,Prophet,305.04510500637144
2026,BUKIT MERAH,BUKIT HO SWEE,Linear,75.0
2027,BUKIT MERAH,BUKIT HO SWEE,Linear,0.0
2028,BUKIT MERAH,BUKIT HO SWEE,Linear,0.0
2029,BUKIT MERAH,BUKIT HO SWEE,Linear,0.0
2030,BUKIT MERAH,BUKIT HO SWEE,Linear,0.0
2026,BUKIT MERAH,BUKIT HO SWEE,Prophet,672.0416478241013
2027,BUKIT MERAH,BUKIT HO SWEE,Prophet,626.0036235338075
2028,BUKIT MERAH,BUKIT HO SWEE,Prophet,579.8394676701157
2029,BUKIT MERAH,BUKIT HO SWEE,Prophet,533.8014433798221
2030,BUKIT MERAH,BUKIT HO SWEE,Prophet,487.7634190895284
2026,BUKIT MERAH,BUKIT MERAH,Linear,0.0
2027,BUKIT MERAH,BUKIT MERAH,Linear,0.0
2028,BUKIT MERAH,BUKIT MERAH,Linear,0.0
2029,BUKIT MERAH,BUKIT MERAH,Linear,0.0
2030,BUKIT MERAH,BUKIT MERAH,Linear,0.0
2026,BUKIT MERAH,BUKIT MERAH,Prophet,0.0
2027,BUKIT MERAH,BUKIT MERAH,Prophet,0.0
2028,BUKIT MERAH,BUKIT MERAH,Prophet,0.0
2029,BUKIT MERAH,BUKIT MERAH,Prophet,0.0
